,LU,LDL,NullSpace,RangeSpace,LUSparse
100,0.021306999999069376,0.00987389999863808,0.050038600002153544,0.0017101000012189616,0.002456700000038836
200,0.010307700002158526,0.051683400000911206,0.03538269999990007,0.0029748000015388243,0.0022376999986590818
300,0.012004200001683785,0.052066000000195345,0.02417570000034175,0.004540000001725275,0.0038693999995302875
400,0.017496500000561355,0.08203660000071977,0.09118020000096294,0.007895599999756087,0.006898399999045068
500,0.021348999998735962,0.17522230000031414,0.06435460000284365,0.01181689999793889,0.010160799996810965
600,0.029030300000158604,0.15207879999798024,0.11264330000267364,0.015889999998762505,0.015474699997866992
700,0.042627400001947535,0.2556869000000006,0.1428263000016159,0.021943299998383736,0.021127699998032767
800,0.05416440000044531,0.2745171999995364,0.15354999999908614,0.028248700000403915,0.02974499999982072
900,0.05810840000049211,0.35469490000105,0.170475399998395,0.0366701999992074,0.03494900000077905
1000,0.11165040000196313,0.6573720999986108,0.21683889999985695,0.0458558999998786,0.043946300000243355
1100,0.1547936999995727,0.5200270999994245,0.7669696999982989,0.061707599998044316,0.05323829999906593
1200,0.19797709999693325,0.6708646000006411,0.29265140000279644,0.07386400000177673,0.06277300000147079
1300,0.20687329999782378,0.8026948000006087,0.6054266999999527,0.08746849999806727,0.07563620000291849
1400,0.21154010000100243,0.9539250000016182,0.39994410000144853,0.10592650000035064,0.09244470000339788
1500,0.2822011000025668,1.0445652999987942,1.0524122000024363,0.13116619999709656,0.10534060000281897
1600,0.30474619999949937,1.2807484999975713,0.6136554999975488,0.16100230000301963,0.11822240000037709
1700,0.3043074000015622,1.3808647999976529,0.5655476000029012,0.15861790000053588,0.13334039999972447
1800,0.35103499999968335,1.6245749999980035,0.6332671000018308,0.1866684999986319,0.15112609999778215
1900,0.3688041000023077,2.2507745000002615,0.7157901999999012,0.21594920000279672,0.1700364999996964
